,书名,作者,评分,a,评价人数,b,简介
30,"哈利·波特与阿兹卡班的囚徒
","['[英] J. K. 罗琳 ', ' 郑须弥 ', ' 人民文学出版社 ', ' 2000-9 ', ' 26.50元\n']","8.9
","数：(
","                 81416人评价
","             )
","小天狼星布莱克
"
31,"边城
","['沈从文 ', ' 北岳文艺出版社 ', ' 2002-4 ', ' 12.00元\n']","8.6
","数：(
","                 84720人评价
","             )
","如水一般的忧愁与怅惘
"
32,"狼图腾
","['姜戎 ', ' 长江文艺出版社 ', ' 2004-4 ', ' 32.00元\n']","8.3
","数：(
","                 87929人评价
","             )
","我们都是 狼的传人？
"
33,"哈利·波特与火焰杯
","['[英] J. K. 罗琳 ', ' 马爱新 ', ' 人民文学出版社 ', ' 2001-5 ', ' 39.80元\n']","9.0
","数：(
","                 78654人评价
","             )
","整个系列的分水岭，暗色渐浓
"
34,"1Q84 BOOK 1
","['[日] 村上春树 ', ' 施小炜 ', ' 南海出版公司 ', ' 2010-5 ', ' 36.00元\n']","8.3
","数：(
","                 85262人评价
","             )
","村上的野望，欢迎来到1Q84年
"
35,"哈利·波特与密室
","['[英] J. K. 罗琳 ', ' 马爱新 ', ' 人民文学出版社 ', ' 2000-9 ', ' 22.00元\n']","8.9
","数：(
","                 78669人评价
","             )
","渐入佳境，魔法世界全貌初现
"
36,"许三观卖血记
","['余华 ', ' 南海出版公司 ', ' 1998-9 ', ' 16.80元\n']","8.7
","数：(
","                 79884人评价
","             )
","余华的悲凉，都在那一碗炒猪肝里了
"
37,"撒哈拉的故事
","['三毛 ', ' 皇冠出版社 ', ' 1976 ', ' 160 TWD\n']","9.0
","数：(
","                 76645人评价
","             )
","关于漂泊的一切
"
38,"穆斯林的葬礼
","['霍达 ', ' 北京十月文艺出版社 ', ' 1988-12-1 ', ' 32.00\n']","8.2
","数：(
","                 83521人评价
","             )
","时代烙印鲜明的民族史诗
"
39,"万历十五年
","['[美] 黄仁宇 ', ' 生活·读书·新知三联书店 ', ' 1997-5 ', ' 18.00元\n']","8.9
","数：(
","                 75560人评价
","             )
","见微知著，历史观的颠覆
"
40,"莲花
","['安妮宝贝 ', ' 作家出版社 ', ' 2006-3 ', ' 25.00元\n']","8.0
","数：(
","                 80333人评价
","             )
","三个生命的交逢，灵魅清冷
"
41,"向左走·向右走
","['幾米 ', ' 生活·读书·新知三联书店 ', ' 2002-8 ', ' 16.00元\n']","8.4
","数：(
","                 75397人评价
","             )
","两条平行线相遇的可能
"
42,"盗墓笔记
","['南派三叔 ', ' 中国友谊出版公司 ', ' 2007-1 ', ' 26.80元\n']","8.3
","数：(
","                 74564人评价
","             )
","想象奇诡的大型RPG游戏
"
43,"哈利·波特与混血王子
","['[英] J. K. 罗琳 ', ' 马爱农 ', ' 人民文学出版社 ', ' 2005-10 ', ' 58.00元\n']","8.8
","数：(
","                 68973人评价
","             )
","感情线纷乱的一部。再见邓布利多
"
44,"窗边的小豆豆
","['[日] 黑柳彻子 著 ', ' 赵玉皎 ', ' 南海出版公司 ', ' 2003-1 ', ' 20.00元\n']","8.7
","数：(
","                 69912人评价
","             )
","真正懂孩子的教育经
"
45,"黄金时代
","['王小波 ', ' 花城出版社 ', ' 1999-3 ', ' 19.00元\n']","8.8
","数：(
","                 68986人评价
","             )
","能把性爱写得如此坦荡的，大概只有王二了
"
46,"苏菲的世界
","['（挪威）乔斯坦·贾德 ', ' 萧宝森 ', ' 作家出版社 ', ' 1999-04 ', ' 26.80元\n']","8.5
","数：(
","                 69939人评价
","             )
","最平易近人的哲学入门
"
47,"天龙八部
","['金庸 ', ' 有1996年11月北平第4次印刷本 ', ' 三联书店 ', ' 1994-5 ', ' 96.0\n']","9.1
","数：(
","                 63198人评价
","             )
","“有情皆孽，无人不冤”
"
48,"三国演义（全二册）
","['[明] 罗贯中 ', ' 人民文学出版社 ', ' 1998-05 ', ' 39.50元\n']","9.2
","数：(
","                 62099人评价
","             )
","是非成败转头空
"
49,"牧羊少年奇幻之旅
","['[巴西]保罗·柯艾略 ', ' 丁文林 ', ' 南海出版公司 ', ' 2009-3-1 ', ' 25.00元\n']","8.6
","数：(
","                 67169人评价
","             )
","你自己就是最大的宝藏
"
50,"哈利·波特与凤凰社
","['[英] J. K. 罗琳 ', ' 马爱农 ', ' 人民文学出版社 ', ' 2003-9 ', ' 59.00元\n']","8.7
","数：(
","                 65402人评价
","             )
","暴脾气的哈利
"
51,"悟空传
","['今何在 ', ' 光明日报出版社 ', ' 2001-4 ', ' 14.80元\n']","8.4
","数：(
","                 68998人评价
","             )
","猴子还是那个猴子，世界早已不是原来的世界
"
